,No,Name,Type,Zone,TTChange,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
0,55014,Varanasi City - Chhapra Passenger (UnReserved),Pass,NER,No Speed Change,NULL,Oct 13,BCY,04:50,CPR,13:00,8h 10m,32,SMTWTFS,NULL,202 km,25 km/hr,55013
1,55013,Chhapra - Varanasi City Passenger (UnReserved),Pass,NER,No Speed Change,NULL,Oct 13,CPR,13:25,BCY,21:35,8h 10m,32,SMTWTFS,NULL,202 km,25 km/hr,55014
2,05690,Khandwa - Bir Shuttle Mela Special (UnReserved),Pass,WCR,No TT Change,Oct 10,Oct 14,KNW,22:25,BIR,23:20,0h 55m,3,SM  TFS,NULL,34 km,37 km/hr,05689
3,05689,Bir - Khandwa Shuttle Mela Special (UnReserved),Pass,WCR,No TT Change,Oct 10,Oct 14,BIR,20:15,KNW,21:20,1h 5m,3,SM  TFS,NULL,34 km,32 km/hr,05690
4,00680,Dharmanagar - Agartala Special (UnReserved),Pass,NFR,No TT Change,Oct 06,Oct 07,DMR,17:45,AGTL,22:15,4h 30m,0,SM     ,NULL,139 km,31 km/hr,00679
5,00679,Agartala - Dharmanagar Special (UnReserved),Pass,NFR,No TT Change,Oct 06,Oct 07,AGTL,05:00,DMR,09:30,4h 30m,0,SM     ,NULL,139 km,31 km/hr,00680
6,06207,Chamarajanagar - Mysuru Passenger Special (UnReserved),Pass,SWR,Src/Dest Changed.,Oct 09,Oct 09,CMNR,23:10,MYS,00:50,1h 40m,11,  T    ,NULL,60 km,36 km/hr,06208
7,06208,Mysuru - Chamarajanagar Passenger Special (UnReserved),Pass,SWR,Src/Dest Changed.,Oct 08,Oct 08,MYS,21:00,CMNR,22:50,1h 50m,11,  T    ,NULL,60 km,33 km/hr,06207
8,06216,KSR Bengaluru - Mysuru Vijaya Dashmi Special (UnReserved),Pass,SWR,Speeded: 15m,Oct 09,Oct 09,SBC,01:00,MYS,03:30,2h 30m,7,   W   ,NULL,138 km,55 km/hr,06215
9,06215,Mysuru - KSR Bengaluru Vijaya Dashami Special (UnReserved),Pass,SWR,Speeded: 30m,Oct 08,Oct 08,MYS,22:00,SBC,00:30,2h 30m,8,  T    ,NULL,138 km,55 km/hr,06216
10,05603,Chennai Beach - Arakkonam Tirupati Brahmotasavam Passenger Special (UnReserved),Pass,SR,Src/Dest Changed.,Sep 30,Oct 09,MSB,21:40,AJJ,23:15,1h 35m,2,SMTWTFS,NULL,70 km,44 km/hr,NULL
11,05601,Arakkonam - Renigunta Tirupati Brahmotasavam Passenger Special (UnReserved),Pass,SR,No TT Change,Sep 30,Oct 09,AJJ,15:00,RU,16:30,1h 30m,3,SMTWTFS,NULL,68 km,45 km/hr,05602
12,05602,Renigunta - Chennai Beach Tirupati Brahmotasavam Passenger Special (UnReserved),Pass,SR,No TT Change,Sep 30,Oct 09,RU,17:15,MSB,21:00,3h 45m,7,SMTWTFS,NULL,138 km,37 km/hr,05601
13,04614,Dera Baba Nanak - Sultanpur Lodhi Prakash Parv Special (UnReserved),Pass,NR,No TT Change,Nov 01,Nov 14,DBNK,19:15,SQR,01:30,6h 15m,0,SMTWTFS,NULL,174 km,28 km/hr,04613
14,04613,Sultanpur Lodhi - Dera Baba Nanak Prakash Parv Special (UnReserved),Pass,NR,No TT Change,Nov 01,Nov 14,SQR,13:00,DBNK,18:50,5h 50m,0,SMTWTFS,NULL,174 km,30 km/hr,04614
15,04610,Dera Baba Nanak - Sultanpur Lodhi Prakash Parv Special (UnReserved),Pass,NR,No TT Change,Nov 04,Nov 17,DBNK,06:05,SQR,11:40,5h 35m,0,SMTWTFS,NULL,174 km,31 km/hr,04609
16,04609,Sultanpur Lodhi - Dera Baba Nanak Prakash Parv Special (UnReserved),Pass,NR,No TT Change,Nov 03,Nov 16,SQR,23:55,DBNK,05:50,5h 55m,0,SMTWTFS,NULL,174 km,29 km/hr,04610
17,04608,Nawanshahr Doaba - Sultanpur Lodhi Prakash Parv Special (UnReserved),Pass,NR,No TT Change,Nov 03,Nov 16,NSS,07:20,SQR,10:55,3h 35m,0,SMTWTFS,NULL,102 km,29 km/hr,04607
18,04607,Sultanpur Lodhi - Nawanshahr Doaba Prakash Parv Special (UnReserved),Pass,NR,No TT Change,Nov 02,Nov 15,SQR,16:30,NSS,19:35,3h 5m,0,SMTWTFS,NULL,102 km,33 km/hr,04608
19,04605,Sultanpur Lodhi - Fazilka Prakash Parv Special (UnReserved),Pass,NR,No TT Change,Nov 03,Nov 16,SQR,11:20,FKA,16:50,5h 30m,0,SMTWTFS,NULL,160 km,29 km/hr,04606
20,04606,Fazilka - Sultanpur Lodhi Prakash Parv Special (UnReserved),Pass,NR,No TT Change,Nov 03,Nov 15,FKA,20:00,SQR,23:25,3h 25m,0,SMTWTFS,NULL,160 km,47 km/hr,04605
21,05084,Tulsipur - Gonda Mela Special (UnReserved),Pass,NER,No TT Change,Sep 29,Oct 08,TLR,14:50,GD,16:40,1h 50m,8,SMTWTFS,NULL,70 km,38 km/hr,05083
22,05083,Gonda - Tulsipur Mela Special (UnReserved),Pass,NER,No TT Change,Sep 29,Oct 08,GD,11:50,TLR,14:00,2h 10m,8,SMTWTFS,NULL,70 km,32 km/hr,05084
23,01716,Rewa - Jabalpur Navratri Mela Special,Pass,WCR,No TT Change,Sep 29,Oct 13,REWA,07:00,JBP,12:10,5h 10m,19,SMTWTFS,SL 3A ,238 km,46 km/hr,01715
24,01715,Jabalpur - Rewa Navratri Mela Special,Pass,WCR,Src Changed.,Sep 29,Oct 13,JBP,12:30,REWA,19:00,6h 30m,19,SMTWTFS,SL 3A ,238 km,37 km/hr,01716
25,53562,Poreya Hat - Dumka Passenger (UnReserved),Pass,ER,No TT Change,Sep 18,NULL,PRYHT,15:25,DUMK,17:00,1h 35m,6, MTWTFS,NULL,57 km,36 km/hr,53561
26,53561,Dumka - Poreya Hat Passenger (UnReserved),Pass,ER,No TT Change,Sep 18,NULL,DUMK,13:25,PRYHT,15:05,1h 40m,6, MTWTFS,NULL,57 km,34 km/hr,53562
27,06922,Vasco Da Gama - Belagavi Passenger Special (UnReserved),Pass,SWR,No TT Change,Sep 06,Dec 07,VSG,06:05,BGM,11:20,5h 15m,13,     FS,NULL,160 km,30 km/hr,06921
28,06921,Belagavi - Vasco Da Gama Passenger Special (UnReserved),Pass,SWR,No TT Change,Sep 06,Dec 07,BGM,12:30,VSG,18:20,5h 50m,13,     FS,NULL,160 km,27 km/hr,06922
